4000 30000
1147 2367 473427
463 1665 431877
707 3647 755634
501 3849 544210
1217 1750 324429
294 1632 349374
901 2477 461745
3508 3986 773888
472 1674 817369
2914 3721 694454
1632 2646 727600
425 2094 873616
302 3153 649263
288 3353 434115
499 570 231864
928 2201 936509
677 2302 401410
399 663 249269
1134 2287 719294
8 1207 242559
204 2462 284191
628 2415 886284
31 1281 641788
1568 1646 653141
2066 3762 17710
3345 3978 971910
488 1998 500939
2250 2396 321601
1034 3519 119086
1041 3165 180644
1724 3855 652847
1915 2269 525474
552 2651 263106
297 2340 588674
58 3481 79091
35 1543 58788
522 1806 360785
2745 3123 479533
698 2993 188918
136 2157 789959
781 3881 526165
1628 2147 92433
2698 3455 395083
1390 2561 83379
1222 3587 107788
2765 3031 183823
570 1819 280696
2604 3666 316171
715 2489 23163
850 3408 637320
1719 1982 917552
3884 3962 631698
669 3768 698748
2328 3752 244137
2267 3484 437358
1297 3272 296122
3115 3447 825043
496 2070 525060
667 911 717774
318 3830 554976
1502 2388 217309
2271 3054 841270
2753 2939 985037
1501 3042 911717
1990 2877 209983
2501 3348 991631
1947 3823 799097
866 2794 993166
1927 3812 86076
53 3642 266745
1495 3381 325132
549 691 303754
1961 3653 295044
1505 3351 694086
3068 3494 133314
1403 2841 687814
1386 3015 574113
483 3881 72906
2001 2159 16718
78 2211 428711
1592 3175 462557
660 2634 3105
414 594 231109
296 3459 812613
1897 3363 24458
1117 3211 787651
2502 3026 914665
1139 2984 746897
1337 2397 293055
1766 3467 303618
530 940 333561
1599 3088 600194
2013 2545 461139
1655 1823 901435
2620 3719 832797
3281 3431 14266
2306 3082 404767
2099 3796 836103
997 2545 301439
2052 2363 403204
2022 2893 924495
2332 3583 190446
876 3777 504810
917 2882 162632
1502 2352 890702
1284 3501 305982
365 1767 612640
2815 2887 384787
3342 3811 695331
1133 2215 593694
236 337 24938
171 1184 935269
3630 3947 360496
440 1215 15378
3424 3918 745231
2126 3771 574514
109 1889 807230
775 1101 358044
116 1888 490207
1220 1248 496773
1936 3266 681360
556 3472 377530
3101 3825 701829
321 3893 599043
51 3316 3313
1282 1442 231083
148 1902 812971
3002 3378 670098
889 1775 122213
2460 3982 19813
1107 2077 766100
2467 2632 285571
2808 3998 285024
1827 3481 752916
1222 3531 884583
887 1165 54376
322 1312 84629
690 1294 71630
2816 3744 432871
2309 3149 863682
255 2122 957759
575 2721 772742
2498 3070 243902
1248 3522 731734
790 2822 735264
1726 3708 548780
30 102 714092
732 1675 71133
714 1770 977948
78 1585 957448
1268 2552 473702
3126 3379 240774
473 1623 636196
727 1497 845443
461 2286 16616
11 3726 636676
465 506 453057
1196 2950 278731
1909 2083 332852
383 3846 704929
1113 1831 447480
843 3885 842957
1012 1667 660580
1560 2394 218076
2854 3003 784713
2931 3972 728724
648 3789 137188
1705 2738 94735
788 1173 156643
1640 1907 788488
90 2569 853952
2402 3974 827146
1337 1359 480813
2291 2896 91558
367 2251 358411
1433 2222 565694
2157 3221 229482
925 3697 96571
2064 2432 721743
3427 3703 115650
268 2623 235739
1376 2572 72064
2071 2735 381753
1025 3236 284648
1744 2794 175250
1557 3176 553823
1684 3251 57043
733 1732 654319
163 1305 624382
3400 3941 300084
560 3402 419059
3132 3493 912434
1554 3558 139520
789 1311 244545
2311 3582 994640
1138 1562 141815
389 3385 963850
781 1473 81581
3100 3129 106095
2881 3483 194035
2282 3919 682947
1775 3330 910430
1684 3765 219983
3285 3346 608771
182 1656 168352
3174 3569 773489
1341 3306 506229
86 1191 596054
2772 3185 623182
867 3019 342062
2938 3255 384696
2267 2554 470470
984 2383 220505
967 2020 983850
1738 2553 77857
1727 2442 677778
283 3067 821083
610 2513 597520
2919 3381 145056
600 2101 88075
206 516 759364
1564 2759 577982
34 94 972717
891 1060 566736
741 3149 153640
1590 2950 695366
728 1872 882785
736 2163 163394
35 3654 135126
1092 2107 904077
1519 2974 180634
537 1235 647744
922 3569 215837
286 2164 621248
2904 3374 956396
1015 2205 905985
733 3285 276209
1447 3870 573296
1482 3616 393302
2925 3095 875760
795 3172 362733
159 2029 271621
1597 3903 72894
1883 3741 987057
989 1608 514312
1738 2974 732516
59 3723 835800
284 3928 161599
1581 3544 307432
2883 2990 418356
2161 2643 615150
1728 2319 173530
1701 2574 155126
2314 2595 565360
1652 3654 970968
316 1391 41941
832 1466 506351
985 1749 214279
2936 3681 878174
2368 2915 633163
1076 1909 899675
578 3636 858346
1336 2108 156919
282 1234 527584
1933 2947 75237
1915 2248 788980
208 3432 58445
768 2560 192545
1191 3703 764578
2070 3717 651492
880 3497 761753
74 907 425388
2181 3253 463076
172 3766 431357
2712 3756 833642
978 3346 667889
326 1538 215672
449 3123 796439
20 1639 88141
950 1355 914562
795 2586 694058
2548 3492 74483
288 2745 196663
3268 3364 248429
3074 3376 311492
716 2721 840470
957 3398 426359
630 2872 542807
1421 3243 436797
193 1915 470151
477 987 825088
2888 3886 884931
173 1371 508027
2387 3889 851295
2962 3168 958670
2660 3677 421742
985 3482 513139
1614 1841 324010
1000 3387 79604
1301 1797 511796
300 1777 821134
1016 1388 769371
2320 2739 265544
1125 2347 805432
644 1994 820393
664 3655 660421
2406 3137 993405
1329 3897 551371
259 2329 130757
125 3864 336057
12 425 598185
1499 2164 127553
835 2870 482291
414 3534 891767
1527 2198 604410
2543 2943 448064
948 3364 779552
1122 1197 508881
493 1455 211561
1318 3602 291685
1682 3659 768461
2196 3180 950625
1749 2401 239459
392 3167 142992
511 1364 28871
307 921 339413
22 1338 496360
1143 1242 561908
1987 2123 827363
1588 1684 405032
1598 1722 806713
2183 3794 886244
1160 1894 896645
972 2286 619811
316 2796 861174
69 1187 473832
600 1758 601854
1313 2999 271348
1474 3221 517335
2936 3509 503274
1230 3969 48872
2682 3765 268665
927 1276 806558
1572 2599 661195
1383 2915 724343
101 2909 600411
1053 1094 286520
2717 2948 529518
2289 2648 870991
335 1225 522500
1193 3610 292081
226 482 948197
1147 1152 957825
57 3075 560423
809 1605 415337
1948 3718 67790
1163 2711 857194
110 1231 279910
3101 3109 930550
2093 3444 603774
945 3053 737318
1378 3534 621544
1032 1928 659047
1440 3753 230122
176 3044 470930
1343 3514 758999
405 3656 568161
850 1635 16622
1088 1112 892083
3180 3662 195526
476 3789 462930
1107 2205 226815
132 3003 755846
2051 3884 405637
412 525 321033
277 3807 226375
3159 3932 754780
1133 3672 192766
647 2596 69853
730 2609 773384
608 2397 342211
3538 3856 68416
2353 3210 932899
1260 2551 860783
188 2136 961546
1221 1943 617822
1101 3949 930105
772 2729 239237
1770 3847 857832
1701 2499 716440
3085 3106 935189
1297 2995 251396
1347 2065 286605
249 2964 216217
99 437 270352
1645 2009 952646
1957 3819 505746
1037 1924 46870
1236 1513 592639
2936 3345 551490
138 2372 118947
20 3679 757942
2084 3075 695288
1400 2032 719537
1498 2249 236325
954 3495 566685
1600 3313 936994
1237 3699 618382
2921 3101 803617
2798 3912 562552
2935 3402 701276
2350 2965 529295
292 2391 147731
422 3932 973130
3023 3821 898979
146 3976 370473
1927 2832 521786
1625 3826 799374
545 2560 442474
457 2178 825271
210 730 180557
2358 2559 959873
3202 3654 898263
3134 3737 798685
867 2954 910059
3452 3846 986386
2320 2635 980312
458 2812 430289
184 1371 866833
2658 3548 431641
282 630 159851
839 2987 686761
713 2992 770315
2728 3328 589448
2365 3594 412753
424 3792 476556
2463 2810 831190
2920 3475 446353
1764 3103 907724
949 2112 51623
943 2393 924252
1146 3584 259591
648 3907 70582
2222 3975 537662
22 2692 117607
1128 3115 709398
2036 2277 716212
1579 2103 627131
218 3932 790585
8 1166 132697
2460 3632 511441
236 3605 107376
179 3864 880375
2437 3114 728702
776 2811 967393
290 2735 22859
486 2325 365135
698 3903 523589
182 187 895806
546 2767 381324
177 3816 411783
765 3610 179740
1295 2986 855603
408 3362 726039
64 1535 896849
270 3809 297138
755 2668 919815
156 1452 596069
1633 3745 772255
752 3904 388801
919 1228 497329
528 1363 538445
1103 3866 771740
1058 3579 300499
3098 3642 146034
299 3802 458655
1790 2469 431409
1957 2624 813212
2026 2721 231197
2282 2624 475948
203 3435 712866
1116 1565 969746
3020 3562 837611
77 3654 713189
153 3526 325182
177 2539 640983
1194 1966 683451
603 3922 850427
2168 2299 149147
580 1365 991770
366 1665 792324
1482 2883 929888
629 1395 616907
1400 2592 225336
1904 3781 964861
443 1315 765037
1988 2298 439354
2102 2943 907627
529 1110 765926
2028 2826 302857
490 2150 907223
2474 3724 109056
353 714 446802
1622 2944 208553
3077 3310 178456
171 391 535250
1561 3041 221238
1142 1267 184180
895 2022 237289
401 3173 644466
2030 2550 848955
1375 1605 112678
2088 3013 405382
61 2167 564678
2720 3370 820106
1529 3893 980496
779 1805 719536
2369 3071 237029
317 2549 867050
190 3841 307802
656 1871 518351
1963 3827 840077
2994 3192 170165
728 1358 674577
430 1406 545947
1512 1958 298191
2361 3088 179995
1457 2249 663417
357 3279 656086
547 2681 923926
1554 2484 286148
1187 3517 649975
1265 2862 157166
3589 3782 770875
1347 2359 183304
658 3210 605613
1570 2849 56701
3196 3819 274157
2966 3449 474865
2129 3052 863411
964 3330 633317
1479 2151 117185
3767 3806 944046
1324 3900 551986
199 2258 989332
3268 3856 592542
1469 2468 858463
2016 2170 506633
679 981 290433
384 3545 560562
3308 3713 173877
625 1543 132379
1348 1810 276145
2208 2671 324396
2195 3222 402654
3077 3527 122273
421 545 748740
2715 3237 494755
2222 3745 540087
656 3289 24470
1570 2597 904535
3447 3573 950077
1383 3827 327425
324 3590 226447
721 1784 901668
1663 3727 52744
2000 2435 801641
1671 3092 688707
2200 3893 504451
548 2287 723740
2469 3110 242688
1915 3645 178260
1741 2074 647642
1851 2417 627584
299 3137 153719
2319 3215 215381
1214 3064 437816
657 1057 195838
1764 2856 996082
1495 2215 128981
604 2307 671449
600 995 797364
3025 3256 155456
876 3250 21872
1526 3186 237360
906 3844 204574
639 2907 45787
315 2807 58796
2078 2646 705651
293 2728 75497
62 2599 676452
3511 3946 413051
875 3553 784428
684 3154 85303
2340 2556 574828
3597 3917 154671
235 491 393930
2631 3042 94244
1779 2039 944322
1118 3430 964966
1179 3280 879916
690 3732 448213
1136 1916 331765
1564 2599 210919
1155 3219 229610
1423 2047 25206
1070 2265 329440
1247 3352 612833
1949 3025 554871
2623 2807 667989
2086 3589 597519
1817 3857 982208
71 2952 168476
188 515 279074
3107 3733 368580
717 2131 158002
2275 3553 884619
2904 3716 77865
549 852 829242
3474 3773 328048
114 3414 682485
1633 3271 536301
194 3693 851605
670 3880 380119
96 3339 756204
407 677 554686
2682 3031 446590
2749 3650 309494
1868 3649 786697
3421 3462 822523
3510 3534 381936
1519 1995 377558
2064 2648 257602
2253 2733 353834
2725 2828 877172
3281 3856 573578
2319 2887 984611
910 2888 923359
1107 2756 519008
568 1453 842780
77 3976 46314
2265 2423 276184
175 1423 998247
27 1778 897331
2751 3612 736158
1136 2383 432366
702 3066 111252
1963 3678 206491
718 3389 279598
2170 2749 676165
1530 2498 240594
196 1114 655368
380 1288 456790
2627 3417 529169
3380 3958 219919
468 867 350654
834 3933 959707
438 3962 493669
3282 3702 778386
2451 3232 600555
3397 3980 815404
175 343 288517
64 906 430157
1206 3884 497925
2375 3841 845657
660 2647 350523
1301 1846 618807
1008 2635 118768
2268 3029 806470
1415 1499 717272
1248 2322 661251
1590 1727 233777
1653 2596 711034
1105 3211 574917
1585 3383 239109
231 1040 439768
1883 3915 641965
2723 3242 440600
1843 2270 74867
665 3684 824366
1937 2358 881613
84 3540 3554
1669 3031 845559
488 703 380769
3620 3870 138353
1261 2729 370936
1175 2850 912818
249 815 756412
1415 2092 362681
635 3108 542717
1045 1353 897074
936 3318 757509
2605 3224 928891
783 3307 841378
1552 3279 509247
258 2007 294507
856 3194 64034
364 1671 920282
776 3437 14725
423 3810 153833
2127 2527 571229
1444 3601 928164
668 1110 491120
1802 2001 938427
3706 3732 394057
979 3963 548063
3508 3839 389271
223 225 43293
507 999 950729
808 3585 735504
1418 3334 705630
999 3286 775426
747 1163 948445
284 2747 70246
2478 3063 37951
1120 3809 989913
1535 3999 329772
223 2806 453995
1081 2451 635345
1017 1181 720152
1037 2786 283837
2667 3784 707122
947 2445 263868
1582 2890 882966
996 1137 405796
2467 3440 857956
353 1706 50306
3478 3511 46880
1473 1961 767960
1170 3493 777329
529 1322 196114
1511 3548 111898
985 1992 969196
882 1205 259129
524 2370 920124
1809 2320 378942
628 3514 667294
2934 3344 690804
1168 1814 492765
2126 2338 540257
11 3455 568786
1522 3570 316685
2858 3820 526676
63 1016 179909
145 938 346630
621 3609 548439
236 3563 324304
2857 3169 3999
1334 2014 525167
2779 3459 39504
3036 3266 299866
174 3187 73739
859 3358 584597
373 3888 129011
149 869 106300
1489 2780 405908
1403 3571 402143
611 3875 661663
2624 3875 231348
1394 1402 879158
790 1250 382423
1116 1315 969961
2526 3208 237318
157 2765 670042
1168 2913 10910
1692 3820 212750
1262 1728 654504
1489 3871 487115
1715 1886 917738
1234 3108 955492
357 392 624281
1824 3168 41947
1031 1481 492472
1187 2800 535236
1194 2706 350149
105 2877 800192
604 1207 917454
826 3712 58942
2711 3179 745008
296 917 468115
409 1040 816823
559 1042 90998
2039 3342 848029
1190 3814 221567
2384 3403 340625
1904 2840 311501
46 2448 56457
109 3902 461282
3196 3287 220345
204 556 564992
671 1316 858031
1494 2710 30941
493 2051 20980
874 2216 98169
1970 2793 448904
3770 3873 567743
2321 3624 700141
81 2574 984249
1715 2122 939888
2412 2677 484795
3348 3405 58110
1193 1788 833171
730 2037 819221
2062 3262 541437
583 2407 567758
1488 2176 215631
1231 2151 834303
1372 2583 341228
298 1974 795349
1862 2709 458026
2465 2657 313725
253 1119 179269
1334 2291 629306
1864 3395 60919
3653 3977 179325
1464 3412 357853
3043 3047 908003
418 1698 918938
2391 2926 335587
604 2628 378295
1006 3612 161112
731 3083 509364
2352 3373 486697
1236 3658 630443
889 930 522419
255 300 644235
2108 3694 47281
1743 2464 431698
1020 1754 814441
1341 3999 619044
1004 3988 846656
86 1100 71738
2464 2790 611110
1513 2799 316697
3728 3956 213585
2728 3983 902236
2442 2963 598281
1257 2244 136023
2294 3010 373043
350 735 621041
338 3780 854397
1789 2788 386834
605 2526 397623
1988 2117 32422
2425 2685 352149
271 1152 52483
466 2859 491277
1141 3061 576533
1164 1354 259895
2089 2559 360596
2220 3953 256933
1007 2350 659074
1536 3884 43678
1871 3160 413794
555 3582 432570
83 1177 106073
36 919 78538
196 1176 913598
1081 2691 42952
976 1602 797392
1554 1573 795963
255 2858 368969
1790 1932 620852
949 1610 162722
882 3757 827628
327 1317 312805
2235 2401 36840
1291 2782 114367
2890 3862 681409
838 2194 111010
2762 3938 540563
1619 3901 857169
1222 3903 414959
1512 2074 644259
1148 1268 577493
1128 1947 83161
699 1933 213747
1989 3125 460528
1230 1492 432741
2902 3775 873930
2264 3712 144691
2828 3964 534662
349 1185 186564
3610 3660 660427
272 1109 853695
1765 2237 747993
169 1278 416691
3025 3294 971031
1137 3905 808261
38 998 4035
2302 2929 872099
1481 3972 692062
2181 2634 349247
1550 1841 980856
1978 2112 782317
25 228 548553
18 1505 108721
881 1061 532366
92 785 417503
705 1782 445540
741 1062 760193
1034 1192 902025
19 1254 728206
1569 2853 170046
62 3898 904509
274 2379 992736
643 2932 34240
5 1703 759120
372 2146 144256
1875 2851 622389
3767 3943 67451
313 1134 656836
2338 2739 925206
1944 2544 59126
942 2357 719023
735 1451 791296
18 2539 540290
374 779 349992
251 745 740490
859 2971 487340
3090 3601 627282
3402 3404 548767
240 1739 943857
635 1446 161800
573 1928 732508
3731 3948 889242
2269 3597 729611
3400 3887 845985
2 2232 770729
1213 2722 954052
813 2062 325141
216 1696 160542
807 2815 878632
2252 3024 207618
1177 3176 317546
1685 3476 145628
2928 3072 651896
891 3310 419647
1541 2876 208001
262 1958 161213
10 2675 418025
722 1503 78592
2045 3888 283398
1029 2912 474001
88 648 709529
1772 2546 709004
174 1051 296427
422 1942 495736
70 817 689629
71 2774 102242
1636 3135 737269
13 637 221990
2605 3033 137878
62 2003 945141
356 1061 289228
1885 3606 418999
131 3241 740050
20 552 981991
109 973 507159
1395 1738 86285
332 3030 189771
1601 3042 626408
1998 3944 105792
1822 4000 990205
708 2963 487265
543 2944 947222
2185 3542 999352
2204 3944 811904
2287 2664 837228
401 1447 250623
84 733 246004
1855 2685 241398
615 2628 315395
801 2408 267747
115 965 572454
231 657 971749
199 3805 141933
494 3158 928489
2781 3414 827152
579 994 43905
662 3617 680989
1974 2516 475673
3372 3483 166301
2242 3119 923453
2866 3206 659568
3672 3788 180224
3422 3593 420774
1707 3102 121268
2196 2515 296400
1701 3508 453330
1958 3477 161991
1802 2947 644858
1173 2972 528340
291 1273 434581
1079 3509 870139
647 3180 805926
871 2953 705518
660 1998 600971
3207 3618 271485
18 907 103345
1348 2864 347173
2162 3691 248974
549 1134 566498
1242 2758 615140
175 3836 662648
482 2314 314180
241 1705 25132
2111 3702 970143
3435 3671 561350
2920 3688 658608
1387 2617 305824
1429 2142 183985
2329 3116 285118
1966 3570 291876
97 1107 644063
2410 3755 968545
2287 3002 994601
1465 3420 626654
899 1915 502324
170 3265 434363
1874 3139 359749
1280 3698 989529
35 748 935857
1154 2713 759779
171 1382 895875
1445 3926 730636
2342 2564 69990
1295 2335 135806
250 3949 529056
2273 3514 521225
636 1739 764715
737 1788 90347
1823 2266 263446
2124 3328 850510
1061 1903 466681
2130 2857 774606
766 1199 637521
2493 3108 47856
2794 2914 492105
1066 3970 531618
1548 2054 857709
2615 2790 743496
962 1056 889318
760 3531 96645
1785 3271 173705
1952 3914 280914
910 1031 354112
491 2431 936956
2287 3404 139749
2392 3726 981167
1625 2363 379220
72 239 726361
1553 3568 979416
1239 2312 623298
1934 2236 385082
294 3885 193347
794 1208 778730
3225 3320 211220
628 1511 142975
255 730 586700
2249 2617 612676
1469 3040 469267
182 2607 246819
197 3599 241482
2433 3249 787416
684 2726 867652
2031 3933 740446
761 3604 76022
583 3981 889532
1312 2957 222138
2009 3912 89106
1380 2686 348145
1914 3953 259104
1512 3124 711300
958 1112 317732
726 1795 768457
379 3826 344389
825 938 432344
847 1271 452927
579 2731 62238
870 2587 790502
1624 1976 984233
1576 2474 886146
1051 1578 992009
878 2009 925121
2611 2734 586915
3112 3420 687092
288 3810 488030
506 1134 233652
217 1433 34230
24 1438 992816
2526 3765 238440
2238 2759 240367
906 3815 245418
693 915 527778
2036 3655 358511
1304 3074 637975
396 2883 590262
778 3741 807748
1173 2430 179964
660 1196 445401
1829 3721 693165
621 2480 271403
988 3737 955569
651 2758 424261
2536 3039 27915
342 1048 534989
1089 3023 806223
1637 2219 273963
648 1385 907488
1349 1660 252683
2750 3488 132756
108 268 15587
23 1447 787323
205 3592 439973
206 2740 931363
139 473 815704
3462 3513 329145
1150 2038 443363
353 2534 392010
3841 3883 242021
877 2984 469860
1633 3603 830319
1220 3625 563766
895 3569 948322
1220 3774 479061
246 584 63552
60 288 307064
1433 2449 832565
1148 3153 415099
1159 3346 267333
222 3532 834668
1393 2206 810271
3712 3777 498247
671 3478 854167
152 1890 785940
2473 3214 870538
3113 3118 642949
897 2534 425749
2045 3100 492901
2199 3555 268246
1884 3086 520819
478 552 867024
542 3175 838800
19 1775 223470
523 3942 977360
88 2235 548184
1125 3205 751648
74 1738 400545
1189 2175 454589
3076 3739 338495
1622 3675 261580
494 2526 726410
1700 3519 46951
2671 3826 303321
120 2494 443843
206 2354 463930
390 3830 427134
39 3903 673224
936 2077 518412
1504 3877 894151
1178 2372 584124
1672 3952 906649
1542 2714 704701
564 1665 476526
987 3057 592645
1182 3262 355350
1113 3652 635179
42 599 591433
977 1823 649861
588 853 303365
2739 3224 852894
3215 3527 302917
1865 2241 36810
257 2566 893374
1243 3444 612430
442 2425 687692
144 3889 667343
487 3324 335736
2662 3109 60712
971 3249 329564
688 2339 997139
1553 1934 808665
852 3769 523257
1662 2686 671514
2482 3036 556756
2923 3467 655532
3066 3511 431772
2741 3206 796259
1850 2942 971272
3172 3654 442520
1218 3859 653210
2144 2357 671114
2995 3374 402883
1009 2632 585920
44 2146 180401
3254 3862 811675
3139 3372 318741
2577 2911 885833
1518 3522 588034
1523 2794 75205
1666 3092 683415
1448 2876 265559
1174 2343 124553
1578 3805 813561
2302 3498 225957
252 1555 974170
1045 3927 229542
3020 3956 208470
854 3477 730340
888 2271 855862
288 446 430954
3516 3861 452753
1772 1858 729926
2678 3435 302082
591 3284 324383
2548 3535 386290
719 3462 143334
2613 2833 543641
3435 3686 383470
926 1775 634092
1638 1723 254379
944 1935 413894
1697 3707 783751
2384 3976 799537
2410 2974 47173
1874 3146 707059
1788 2592 590872
1474 1556 533705
990 1116 937742
586 3117 391019
754 2678 968741
1057 2049 870676
97 3304 362382
72 3407 601117
2834 3297 884090
1979 2470 469963
1881 3766 332906
754 1239 702461
2459 2706 819803
553 3291 898919
2320 3573 312024
314 3729 490072
3032 3342 918520
1724 2438 294592
1734 3193 985777
555 3284 283755
1599 2436 123872
2506 3541 649462
1319 1999 404168
1122 2551 287810
393 2475 418130
417 2789 82210
2482 2841 661241
206 1362 488030
306 3750 362116
2083 3033 330670
632 2190 133457
2062 3489 844997
807 3876 515347
44 2281 82250
207 2673 936724
2689 3442 563864
899 2282 834346
2140 3643 626903
300 2522 542652
638 2382 465685
571 3661 898668
1470 2984 174508
2468 3212 995666
2167 3255 181946
417 3813 664971
1494 2501 240412
1358 3399 914693
1538 3704 122688
60 2607 158987
1049 1612 525721
709 3297 506643
2179 2317 225627
998 1177 881190
843 3164 328444
3142 3933 920609
113 1426 43109
525 2783 294508
2839 3570 852397
1797 2610 204808
1598 3408 713857
3056 3671 226565
1724 2314 909095
293 2900 90092
1483 3743 317608
2280 2884 157540
2889 2996 579317
1998 3872 630451
506 3793 145289
904 2403 267086
352 1712 538493
22 3921 457901
2487 2687 407624
2980 3934 78524
462 2027 466266
2741 3987 785501
1629 1879 184848
1196 3979 904719
484 3647 408863
1289 1739 303617
727 3803 747968
3220 3723 300341
1121 2209 467380
1098 2495 958359
521 3622 687172
859 2240 465913
2737 3741 247893
284 589 559871
1660 3930 212707
1570 2523 542445
2141 2296 270247
1868 2461 109970
3155 3340 804530
437 2887 263024
58 1246 91896
418 2297 608754
2389 2683 3842
2929 2977 340125
988 3152 764407
3511 3859 421976
2003 2305 612624
815 904 358491
321 3226 633830
3207 3757 362619
804 3133 590676
1574 3030 333325
136 608 859713
3536 3979 871042
104 2688 272029
863 2546 987891
1202 3192 322245
2106 3816 539412
1331 2307 939732
489 1439 23291
572 3460 748446
2137 3953 286019
88 3814 134627
66 3879 58514
522 3273 101201
1384 3303 508099
927 3546 305300
742 1792 795757
1204 3400 89440
1288 3889 990878
931 3348 795801
1378 1836 79753
2001 3749 967841
2232 2728 980258
1243 1504 457131
806 2444 162867
352 2895 35793
196 2495 688535
305 3698 995934
1337 1745 108174
976 2620 387874
349 777 425709
97 883 104062
724 2825 766293
419 1334 799796
2466 3214 992954
1333 2109 333657
1126 2656 144151
2013 2960 480200
705 1948 797888
1680 2474 120507
2348 2808 712855
410 3690 860952
472 765 732128
2099 2765 384898
564 2913 404111
2248 3867 330571
1876 3725 953226
1738 2027 584186
2579 3685 312890
468 2158 162921
858 975 930080
1267 1831 694122
1738 3135 422886
854 3615 129336
118 513 754251
976 3985 460498
2212 3548 800223
239 774 978312
960 2817 474348
2202 3284 912857
611 1475 681714
2441 3556 722980
1678 1927 657069
916 1541 733922
2253 2405 786040
856 3380 806376
1355 2927 128587
53 1930 413177
594 1012 623994
2942 3566 591629
1040 3799 920239
947 1514 839031
494 2976 208957
1916 3892 794849
2496 3838 981605
2230 3703 656985
958 1409 184263
1546 3338 315
3075 3931 205679
3224 3421 629596
3023 3051 918635
888 3642 551934
1733 3026 190909
335 3648 291152
3185 3486 981999
790 2067 17702
2127 3025 375110
922 2743 854448
3410 3996 466730
1441 3417 686306
2467 3037 393328
1673 2460 302215
1485 1607 652299
868 1820 67947
21 1356 315784
2020 2497 181850
976 3722 988874
2833 3718 381795
1633 3479 773791
715 920 821559
3021 3956 600377
701 1980 546836
3268 3938 532673
806 3568 766844
826 3515 44199
3197 3299 379047
1149 2919 912022
2103 2376 860091
87 171 223570
801 2314 724489
174 3873 992444
250 874 978776
494 3439 202713
61 112 371518
2956 3927 292695
3225 3507 948244
725 2554 839514
2929 3452 341616
3020 3623 341702
2288 2942 822854
2161 3431 955027
228 2762 164253
2200 3004 269098
2069 2311 889158
1618 1940 641436
1124 2987 809012
3231 3678 573736
2606 2745 957188
713 1977 341162
919 2767 499449
349 1622 769961
928 1001 753075
283 1606 479274
2352 2704 513937
214 643 107554
1650 3629 820678
2662 2860 548707
751 1956 687312
2291 2669 645640
1435 3805 614558
3408 3606 351259
409 1568 848186
2366 2995 116821
1422 2621 843524
558 1635 916166
465 3637 143794
1495 2650 474653
2202 3752 264609
1866 2042 371629
1846 3506 621063
1452 2417 868471
1676 3371 585231
2214 2365 451948
985 3035 221369
1895 2559 815356
2711 2725 358992
205 2520 693993
1525 2406 877745
623 2486 900138
480 2115 585984
2896 3531 983787
354 571 863509
1937 2785 461873
1885 2171 807209
1082 3255 413455
2611 3806 388165
1955 2677 584721
300 554 35478
2045 3039 944100
1506 2184 472580
520 1388 235475
307 1741 100398
3677 3816 915534
1913 2041 314056
1167 1602 623137
129 3410 275295
2435 3927 897971
649 2735 514876
127 1131 874267
580 3666 347772
185 1512 589159
843 1339 983251
1010 1737 115279
1623 3402 437191
1004 3680 686710
765 3169 162838
691 2464 773625
788 1691 696711
2170 3664 326193
1931 2749 45859
260 2055 958043
1598 3566 79238
2817 3687 240247
1309 2448 935649
1340 3640 489004
509 2350 313768
1540 2972 830810
111 3517 108501
228 3775 698670
2057 2422 61770
112 281 154029
29 2676 759978
1914 3198 463664
1645 2162 213325
1284 2163 323016
3167 3633 899524
935 1525 250848
97 1041 274958
598 1621 3084
42 3620 793141
674 1390 25604
3701 3771 289632
1967 3750 84829
128 3766 526474
1443 2290 568109
460 1808 863742
336 2742 641618
2838 3536 642658
2495 3788 596278
1931 3759 828671
1149 3072 385696
919 1028 225397
1020 2661 943363
1138 3842 779842
2580 2668 670483
2778 3039 104290
2872 3727 911383
490 3262 922572
1756 3148 762711
39 3779 130470
802 3110 603970
490 2499 337240
248 3502 90260
3343 3963 875749
2011 3805 874328
788 2640 441719
3282 3659 477445
148 3017 748706
1941 3647 46814
653 3777 374852
579 3475 42313
3429 3445 74802
685 3676 278303
3297 3638 253998
3046 3794 12008
1727 2785 153147
2066 3446 541157
891 1082 817656
1597 3022 141654
26 763 109431
3500 3615 582361
2281 3296 429789
1435 3981 909816
3629 3739 449453
2089 3027 377598
753 2449 848382
198 3596 998799
1105 1440 740232
2761 3388 511605
151 415 75631
117 2198 595482
559 2397 158778
2348 3832 619110
516 3922 66738
1969 2362 410116
810 3919 490868
653 757 783417
1861 3452 248856
621 3684 668596
1387 3290 573098
3273 3585 337214
143 2755 35963
1533 2843 744146
995 3358 256419
86 1679 826780
1597 2202 983589
1423 2250 396345
840 2053 122557
1737 2049 947177
1378 2645 44563
95 650 40499
1309 3756 484642
1289 1624 355836
1770 2635 531193
2189 2720 492871
922 969 134820
910 2344 305421
1607 3183 3473
164 1583 485561
579 3693 746938
609 673 379587
1108 2334 495343
1750 3957 252983
1586 1727 271617
267 1132 134337
1588 2355 767610
1175 2497 145953
456 2948 85487
619 2422 351422
664 3983 96000
1272 3274 408673
2379 2861 659358
481 2556 851314
2418 3891 245040
3549 3861 129659
2256 2550 299246
2160 3430 770094
465 2730 938549
1151 1952 443520
1374 1485 748535
758 1727 381806
2752 3971 416536
2110 2878 821016
1424 2769 983786
